"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
Python,Senior Python Developer,Киев,3500,8,intermediate,fulltime remote freelance,1
Python,Senior Python Developer,Киев,3500,3,upper,fulltime,46
Python,Lead/Senior Python Developer,Киев,5000,15,basic,fulltime,5
Python,Senior Full-Stack developer / Team lead - Python / Java / React,Remote,9000,7,fluent,fulltime remote move relocate,5
Python,Senior Python Developer, Web team lead,Киев,3500,9,intermediate,remote,1
Python,Senior Python (Django) Developer,Киев,2800,8,intermediate,fulltime,1
Python,Senior Backend Software Developer,Харьков,4000,5,upper,fulltime,24
Python,Senior Python Developer,Львов,2700,15,pre,fulltime remote,1
Python,Senior Software Engineer,Одесса,3700,15,upper,fulltime remote freelance,9
Python,Senior Software Engineer or Team Lead: Python,Киев,3000,15,intermediate,fulltime,1
Python,Senior Python Developer,Remote, Киев, Львов, Одесса,3500,15,intermediate,remote freelance,19
Python,Senior Computer Vision Engineer / Data Scientist,Worldwide,7000,4,upper,fulltime relocate,8
Python,Senior Software Engineer,Киев,3500,15,intermediate,remote freelance,1
Python,Senior Engineer/Team Lead (Python, Javascript, React, Node),Dnipro, Remote,3000,6,fluent,fulltime remote freelance,1
Python,Senior Backend Engineer,Киев,4500,10,upper,remote,1
Python,Senior Python Developer / Clojure developer / Software Architect,Удаленная работа, релокейт,4000,15,intermediate,fulltime remote freelance relocate,10
Python,Senior Python/JavaScript Developer, Lead,Харьков,3000,8,fluent,fulltime remote freelance relocate,1
Python,Senior Software Engineer,Kiev,4000,3,upper,fulltime remote freelance move relocate,76
Python,Senior Python Developer/Golang,Киев,4000,6,intermediate,fulltime relocate,1
Python,Senior Python Developer / Tech Lead,Киев, Харьков, удаленная,6000,6,upper,fulltime remote freelance move,89
Python,Project Architect / Team Lead / Senior Python Developer,Киев,6500,15,upper,fulltime remote relocate,1
Python,Senior Software Engineer,Киев,4000,4,intermediate,fulltime remote,93
Python,Senior Python Developer,Киев,3500,5,upper,fulltime remote,39
Python,Senior Python Developer,Киев,4000,5,upper,fulltime remote,47
Python,Senior Software Engineer,Київ,4500,6,upper,fulltime remote,116
Python,Senior Python Software Engineer,Харьков,3800,6,intermediate,fulltime remote relocate,1
Python,Senior Software Engineer,Киев,4500,8,upper,fulltime remote,9
Python,Python Senior Developer,Киев,4500,8,fluent,fulltime remote relocate,1
Python,Python developer (Senior, Lead), ExtJS, BigData,Львов,3500,9,upper,fulltime,31
Python,Senior Software Engineer,Львов,6000,6,intermediate,fulltime remote,2
Python,Senior Software Engineer,Киев,3500,15,upper,fulltime remote freelance,12
Python,Senior Software Engineer,Харьков,3800,6,fluent,fulltime remote freelance,1
Python,Senior/Lead Python developer,Львов,4000,6,upper,fulltime remote relocate,13
Python,Senior Python/Django Developer,Киев,4500,7,upper,remote,8
Python,Senior Python Developer,Киев,4200,3,fluent,fulltime relocate,51
Python,Senior Python Developer,remote,3200,8,intermediate,remote,27
Python,Senior Software Engineer,Запорожье,3500,15,upper,remote freelance relocate,9
Python,Middle/Senior Python/Django Developer,Киев, Львов,3000,5,intermediate,fulltime remote move,44
Python,Senior Software Engineer,Киев,6000,9,fluent,fulltime remote,74
Python,Senior Data Engineer,Киев,5000,7,upper,fulltime remote relocate,23
Python,Senior Full Stack Web Developer (REMOTE ONLY),Луцк,4000,8,upper,remote,6
Python,Senior Software Engineer,Киев,5000,15,upper,fulltime remote freelance,16
Python,Senior Software Engineer,Киев,5000,9,upper,fulltime remote,17
Python,Senior Software Engineer,Киев,4700,15,upper,fulltime remote,33
Python,Senior Python Developer,Харьков,4000,7,upper,fulltime remote,21
Python,Senior Python developer, Team Lead, Go developer,Киев,5000,15,upper,fulltime relocate,1
Python,Senior Developer,,5000,10,upper,remote,5
Python,Senior Software Engineer,Киев,3500,3,pre,fulltime,20
Python,Senior Software Engineer,EU, Canada, Киев, Одесса, London, USA, Tokyo,4000,3,upper,fulltime remote freelance move relocate,12
Project Manager,Senior Project Manager / Program Manager / Delivery Manager,Львов,5000,15,upper,fulltime remote freelance,9
Project Manager,Senior PM / Delivery Manager / CIO,Киев,4500,15,fluent,fulltime relocate,18
Project Manager,Program / Portfolio / Senior Delivery Manager, Department Head,Киев,5500,15,fluent,fulltime relocate,10
Project Manager,Senior Project Manager / Program Manager,Киев,6000,7,fluent,fulltime remote freelance,11
Project Manager,Senior Account Manager/Delivery manager,Харьков,5500,15,fluent,fulltime,1
Project Manager,Senior Project Manager (PMP),Киев,4500,15,fluent,fulltime relocate,1
Project Manager,Senior Project/Delivery Manager, Scrum Master,Харків,3200,8,fluent,fulltime remote freelance relocate,49
Project Manager,Senior Project Manager / Program Manager,Киев,5500,7,fluent,fulltime remote relocate,8
Project Manager,Senior Project Manager,Харьков,3500,6,fluent,fulltime remote relocate,2
Project Manager,Senior Project Manager,Киев,4300,7,fluent,fulltime remote relocate,9
Project Manager,Senior Project Manager, Program Manager, Portfolio Manager (PMP),Киев,5000,9,upper,fulltime remote freelance,3
Project Manager,Project Manager | Senior QA,Киев,2000,10,intermediate,fulltime remote freelance move relocate,63
Project Manager,Senior Project Manager, Delivery Manager,Киев,4000,15,upper,fulltime remote move relocate,1
Project Manager,Senior Project Manager / Program manager /  Delivery Director,Харьков,6000,15,fluent,fulltime remote freelance,35
Project Manager,Senior Project Manager/Program Manager,Киев,4000,6,fluent,fulltime remote move relocate,1
Project Manager,Senior Project Manager,США, Канада, Центральная и западная Европа,3600,8,fluent,fulltime remote move relocate,1
Project Manager,Senior Project Manager,Київ,4500,6,fluent,fulltime remote relocate,15
Project Manager,Senior Project and Program Manager,Kyiv,2500,15,intermediate,fulltime remote freelance,10
Project Manager,Senior Project Manager,Киев,3900,10,fluent,fulltime remote freelance relocate,12
Project Manager,Senior Project Manager,Киев,3000,6,upper,fulltime,13
Project Manager,Senior Project Manager, Product Director, Delivery Manager (Mobile, Web, VR/AR),Киев,3500,5,fluent,fulltime remote relocate,11
Project Manager,Senior Project Manager, Менеджер проекта, SCRUM-мастер, Руководитель проектного офиса,Киев,2000,15,pre,fulltime remote move,5
Project Manager,Head of PMO, Site Manager, Senior Delevery Manager,Киев,7000,15,fluent,fulltime remote,9
Project Manager,Senior IT infrastructure Engineer,Киев, Будапешт, Прага, Вена, Барселона, Лагос, Барбадос, Кипр,3000,15,upper,fulltime freelance move relocate,49
Project Manager,Senior Project Manager / Delivery Manager,Ивано-Франковск,4000,10,upper,fulltime remote,15
Project Manager,Head of PMO, CTO, Senior Project Manager,Київ,5000,8,upper,fulltime remote freelance relocate,224
Project Manager,Senior Project/Delivery Manager,Odessa, Kiev,4500,7,fluent,fulltime remote,12
Project Manager,Senior Project Manager,Киев,4000,10,fluent,fulltime remote freelance relocate,2
Project Manager,Project Manager / Solution Architect / Senior Business Analyst,US, Canada, Europe, UAE, Kiev,4000,10,fluent,remote freelance move relocate,37
Project Manager,Senior IT Project Manager,Киев, Kyiv, Kharkiv, Lviv, Odessa, Dnipro, Zaporojia,4000,15,upper,fulltime remote freelance move relocate,18
Project Manager,Senior Project Manager,Киев,4500,8,fluent,fulltime,1
Project Manager,Senior Project manager(PMP)/Program/Delivery manager,Kiev,5000,15,fluent,fulltime remote freelance relocate,1
Project Manager,Senior Project Manager/Delivery Manager/Delivery Director,Kiev,5000,10,fluent,fulltime remote freelance relocate,16
Project Manager,Senior Project Manager,Киев,1500,5,intermediate,fulltime,1
Project Manager,Senior Project Manager / Program Manager,Харьков,4000,6,fluent,fulltime,5
Project Manager,Senior Project Manager, PSM, ICP,Киев,4500,8,fluent,fulltime remote relocate,4
Project Manager,Senior Project Manager, PMO Manager, Head of R&D,Киев,100,15,fluent,fulltime,7
Project Manager,Director of Engineering / Program manager / Senior Project Manager,Kiev,5700,15,fluent,fulltime,6
Project Manager,Senior Project/Product Manager,Киев,2500,10,intermediate,fulltime remote,8
Project Manager,Senior Product/Project manager, Product Owner,Львов, удаленно,3000,15,intermediate,fulltime remote,8
Project Manager,Senior Project Manager / Scrum Master,Киев, Одесса, За рубежом, Львів,3500,15,fluent,fulltime remote move relocate,10
Project Manager,Business Manager, Senior Project (Program) Manager,Днепр, remote,2000,6,intermediate,fulltime remote freelance move,1
Project Manager,Senior Delivery/Project Manager,Киев, Днепр, Кривой Рог, Харьков,5500,15,upper,fulltime remote move,8
Project Manager,Senior Project Manager with strong BA experience,Киев,3500,6,upper,remote,54
Project Manager,Senior Project / Product manager,Киев,4000,6,fluent,fulltime relocate,51
Project Manager,Head of PMO / Delivery Director / Senior PM,Киев,4500,9,upper,fulltime,136
Project Manager,Senior Project Manager\Product manager,Харьков,2800,10,upper,fulltime,35
Project Manager,Senior Project Manager,Kiev,4500,7,fluent,fulltime remote relocate,16
Project Manager,Senior project manager, Scrum Master,Киев,4000,5,fluent,fulltime,1
Project Manager,Director of engineering, Director of delivery, Senior Program and Portfolio Manager,Киев,8000,15,intermediate,fulltime remote,1
Project Manager,Senior GM/ Project/ Product Manager,Киев,5000,15,upper,fulltime remote move relocate,40
Project Manager,Senior Project Manager / Agile Expert / CEO,Киев,4500,15,fluent,fulltime relocate,1
Project Manager,Senior Project Manager / Head of PMO / Scrum master,Kyiv,4800,9,fluent,fulltime remote relocate,1
Project Manager,Senior Project Manager/Engineering Manager/Account Manager,Львов,5000,6,fluent,fulltime remote,5
Project Manager,Senior Project Manager,Киев, Днепр, Харьков, Одесса.,5000,6,upper,fulltime move,1
Project Manager,Senior Project Manager,Удаленно,3600,7,fluent,remote freelance relocate,1
Project Manager,Senior Project manager / Program manager,Киев,5000,15,fluent,fulltime relocate,23
Project Manager,Project Manager/Senior Project Manager/Delivery Manager,Киев,4500,6,fluent,fulltime remote freelance relocate,34
Project Manager,Senior  SEO specialist, Project Manager,Киев,1500,6,pre,fulltime remote freelance move relocate,19
Project Manager,Senior IT Project Manager,Киев,2500,5,upper,fulltime remote freelance,21
Project Manager,Senior Project Manager,Харьков,3100,10,upper,fulltime remote freelance move relocate,108
Project Manager,Delivery Manager, Senior Project, Product Manager,,Львов,3500,8,fluent,fulltime move relocate,1
Project Manager,Senior Project Manager / Program Manager,Киев, Львов,6000,10,fluent,fulltime remote relocate,12
Project Manager,Senior Project/Product Manager / IT Architect,Киев, Львов, Астана,2600,15,pre,fulltime remote freelance move,1
Project Manager,Scrum Master / Senior Project / Delivery Manager (PMP, CSM, ITIL),Киев,4000,10,fluent,fulltime,2
Project Manager,Senior Project Manager,Киев,2000,7,intermediate,fulltime remote,1
Project Manager,Senior Project Manager (PMP),Kiev,2900,10,fluent,fulltime remote move relocate,1
Project Manager,Senior Project Manager,Киев,2500,5,intermediate,fulltime remote,1
Project Manager,Senior Project Manager,Киев,3500,15,fluent,fulltime remote,1
Project Manager,Project Manager/Senior PM/Business Analyst,Kyiv,3000,15,upper,fulltime remote,2
Project Manager,Project Manager, Senior Project Manager, Program Manager, Senior Product Manager, Delivery Manager,Киев, Одесса, Львов, Днепр,3000,7,intermediate,fulltime remote move relocate,1
Project Manager,Delivery Director, VP of Engineering, Head of department, Senior Program Manager,Киев,5500,15,upper,fulltime remote,13
Project Manager,Chief PM Officer / Senior PM,Одесса,3500,15,upper,fulltime remote freelance,30
Project Manager,Project Manager / Senior System Engineer,Киев,3000,5,fluent,fulltime remote,1
Project Manager,Senior Sales/Project Manager,Киев,4000,5,fluent,fulltime remote freelance move relocate,25
Project Manager,Senior UX/UI designer / Project lead,Киев,2500,7,upper,fulltime remote freelance move relocate,30
Project Manager,Senior Project Manager / Prgram Manager,Киев,2000,9,intermediate,fulltime,1
Project Manager,Senior Project Manager,Киев,4300,8,fluent,fulltime remote relocate,12
Project Manager,Senior Scrum Master, Agile coach,Киев,2200,8,intermediate,fulltime remote freelance relocate,1
Project Manager,Senior Project Manager/Delivery Manager,Киев,3200,8,fluent,fulltime remote freelance relocate,39
Project Manager,Senior Delivery Manager / Senior Project Manager,Киев,5500,9,upper,fulltime,8
Project Manager,Senior project manager / Program manager,Киев,2500,6,intermediate,fulltime remote move relocate,1
Project Manager,Senior Project Manager/Engineering Manager,Одесса,4500,15,fluent,fulltime remote,2
Project Manager,Senior Project Manager,Киев,3300,15,fluent,fulltime,3
Project Manager,Senior Project Manager | Delivery Manager,Киев,5000,15,fluent,fulltime relocate,1
Project Manager,Senior PM,Львов,100,15,fluent,fulltime remote freelance relocate,1
Project Manager,Senior Project Manager / Delivery Manager (DW/BI/BigData),Киев,4000,15,fluent,fulltime remote freelance,1
Project Manager,Senior Project Manager,Киев,6000,6,fluent,fulltime remote relocate,4
Project Manager,Senior Project Manager/Delivery manager,Киев,4000,8,fluent,fulltime remote freelance move relocate,1
Project Manager,Senior Project Manager,Киев,3600,5,fluent,fulltime relocate,1
Project Manager,Senior Project Manager,Харьков,3000,2,fluent,fulltime remote freelance relocate,3
Project Manager,Senior Project Manager, Product Manager, Head of PMO,Remote,4500,6,fluent,fulltime,1
Project Manager,Senior Project Manager, SCRUM Master,Киев,4200,10,fluent,fulltime remote relocate,1
Project Manager,Senior Project Manager,Киев,6500,15,fluent,fulltime remote move relocate,1
Project Manager,PMO / Senior Project Manager / BA / Delivery Manager,Львов,4000,15,fluent,remote move relocate,2
Project Manager,Project Manager / Scrum Master/Senior QA,Винница,500,2,intermediate,fulltime remote,1
Project Manager,Program Manager / Senior Project Manager,Киев,5000,15,fluent,fulltime remote freelance relocate,53
Project Manager,Senior manager / Consultant,Киев,4500,15,fluent,fulltime remote move,1
Project Manager,Senior Project Manager,Киев, Днепр, Одесса, Запорожье,2000,4,upper,fulltime move relocate,33
Project Manager,Senior Project Manager,Киев,5000,5,upper,fulltime remote,36
Project Manager,Senior Project Manager/Scrum Master,Киев,3000,4,upper,fulltime remote freelance relocate,17
Project Manager,Senior Project Manager,Киев,3400,5,fluent,fulltime remote relocate,6
Project Manager,Senior project manager,Киев,3000,15,fluent,fulltime remote relocate,49
Project Manager,Senior Fullstack PHP/ Senior Fullstack Java,Чернoвцы,500,5,fluent,remote freelance,1
Project Manager,Senior Project Manager/Delivery Manager | Scrum master,Киев,3800,15,upper,fulltime remote,92
Project Manager,Middle/Senior Project Manager,Киев, Харьков, Львов,1500,5,fluent,fulltime remote move relocate,1
Project Manager,Senior Project Manager, CTO, COO, CIO,Киев,4000,15,fluent,fulltime remote freelance move relocate,1
Project Manager,Senior Project Manager \ Head of PMO \ Head of department,Киев,3000,15,fluent,fulltime relocate,1
Project Manager,Technical Project Manager / Solutions Architect / Senior Full Cycle Developer,Киев,7500,15,fluent,fulltime remote freelance move,1
Project Manager,Senior Project Manager, Business Analyst,Харьков,2000,15,upper,fulltime remote freelance,1
Project Manager,Senior Project/Program/Delivery Manager,Kyiv,4000,15,fluent,fulltime remote relocate,351
Project Manager,Scrum master, Senior PM / Project manager,Киев,1800,4,fluent,fulltime,40
Project Manager,Senior Project Manager/Head of Department,Харьков,3000,5,intermediate,fulltime remote freelance,5
Project Manager,Senior Project Manager, Project Manager, Delivery manager, Software development manager, CTO,Харьков,3200,15,fluent,fulltime remote relocate,3
Project Manager,Head of Department / Senior PM,Киев,3500,6,fluent,fulltime remote relocate,1
Project Manager,Senior Project Manager / Product Owner,Киев,3800,15,upper,fulltime remote relocate,18
Project Manager,Senior Project Manager / Consultant,Киев,5000,15,fluent,freelance,1
Project Manager,Senior Project Manager,Одесса, Киев,1400,4,upper,fulltime remote freelance move relocate,10
Project Manager,Senior Delivery Manager / Technical Delivery Manager / Architect / Team & Tech Lead (.NET),Киев,5000,15,upper,fulltime remote,1
Project Manager,Senior Project Manager,Киев,2500,15,intermediate,fulltime relocate,38
Project Manager,Senior Project Manager / Delivery Manager / Delivery Director,Львов,4500,15,fluent,fulltime move,4
Project Manager,Development Director, Producer, Senior Project Manager, CTO,Харьков, Бангкок, Амстердам, Будва, Львов,4000,15,fluent,fulltime remote freelance move relocate,1
Project Manager,Senior Project Manager/Program Manager/Delivery Manager,Киев,4500,7,fluent,fulltime remote relocate,1
Project Manager,Chief of PMO/COO/Group Program Manager/Senior Project Manager,Киев, Одесса, возможен релокейт,4500,6,upper,fulltime remote move,2
Project Manager,Senior Project Manager,Киев,4500,15,upper,fulltime remote freelance,4
Project Manager,Senior Project Manager / Program Manager / Delivery Manager/ CIO,Львов,4000,15,fluent,fulltime remote move relocate,21
Project Manager,Senior Project Manager/Delivery Manager,Львів,5400,8,upper,fulltime remote relocate,2
Project Manager,Senior Project Manager,Удаленно,4000,7,fluent,fulltime remote,21
Project Manager,Senior Project Manager/Program Manager/ Delivery Manager,Киев,4000,8,fluent,fulltime,4
Project Manager,COO, Senior Project Manager,Киев,1700,4,upper,fulltime remote move relocate,25
Project Manager,Senior Project Manager/Scrum master,Киев,2000,4,upper,fulltime remote freelance relocate,40
Project Manager,Program Manager / Senior Project Manager / PMO Director,Киев,5200,15,fluent,fulltime remote move relocate,9
Project Manager,Senior Project Manager/ Product manager,Odessa,4000,15,upper,fulltime remote,5
Project Manager,Senior Project Manager,Киев,3500,15,upper,fulltime remote,10
Project Manager,Senior Project Manager,Київ, Львів,4000,4,upper,fulltime remote relocate,7
Project Manager,Senior Project Manager (Head of PMO),Киев,1700,6,pre,fulltime remote,1
Project Manager,Senior Project Manager  / Delivery Manager,Kyiv,2500,6,fluent,fulltime,78
Project Manager,Senior Project Manager,Львов,3000,10,intermediate,fulltime remote,1
Project Manager,Senior project manager,Киев,3000,5,fluent,fulltime remote move,60
Project Manager,Senior Project/Delivery Manager, Engineering Director,Киев,5000,15,fluent,fulltime,4
Project Manager,Director \ Engineering manager \ Site leader \ Senior project manager,Любой,6500,15,fluent,fulltime remote move relocate,3
Project Manager,Senior Project Manager, Product manager, Delivery manager, Scrum Master,Львів, Київ, Харків, Дніпро, Одеса, Вінниця, Запоріжжя,2800,9,fluent,fulltime remote freelance move relocate,17
Project Manager,Senior Project Manager/Program Manager/Portfolio Manager,Київ,5000,15,fluent,fulltime remote,3
Project Manager,Head of Delivery / Delivery Director / Senior Delivery Manager,Харьков,4000,15,upper,fulltime remote,4
Project Manager,Senior Account Manager, Project Manager,Киев,1200,10,fluent,fulltime remote freelance,12
Project Manager,Senior Project Manager, Delivery Manager,Киев,4000,5,fluent,fulltime remote,2
Project Manager,Senior Project Manager,Киев, EU, USA,4000,15,fluent,fulltime remote relocate,4
PHP,Senior PHP Developer,relocate,4000,4,intermediate,fulltime relocate,1
PHP,Senior Full-stack Developer (PHP/JS),Киев,3500,8,upper,fulltime,100
PHP,Senior PHP Developer,Киев,3500,7,pre,fulltime remote relocate,1
PHP,Senior PHP Developer/Team Lead,Днепр,4000,15,intermediate,fulltime remote move,83
PHP,Senior PHP Developer,Kyiv,3500,15,upper,fulltime remote relocate,31
PHP,Senior/Lead PHP Developer,Харьков,3500,10,intermediate,fulltime,31
PHP,Senior PHP Developer,Николаев,3500,10,pre,fulltime remote freelance relocate,1
PHP,Senior Software Developer,Харьков Львов Одесса Киев,3800,15,fluent,fulltime remote move relocate,1
PHP,Senior PHP Developer,,4000,15,pre,remote,5
PHP,Senior PHP Developer,Nikolaev,1500,8,upper,fulltime remote freelance move relocate,15
PHP,Senior PHP Developer,Харьков,3000,10,intermediate,remote,61
PHP,Senior PHP Developer / Team Lead (Symfony),Киев,4500,7,intermediate,fulltime remote,21
PHP,Senior PHP Developer,Харьков,2000,9,intermediate,fulltime remote freelance,68
PHP,Lead/Senior PHP developer (remote only),Днепр,3500,8,upper,remote freelance,1
PHP,Senior PHP Developer/Team Lead,Харьков,3000,8,upper,fulltime,12
PHP,Senior PHP Developer,Киев,4000,9,pre,fulltime,22
PHP,Senior PHP Developer, remote,Удаленно ),2000,8,pre,remote freelance relocate,16
PHP,Senior PHP Developer,Киев,4500,7,upper,fulltime remote freelance,13
PHP,Senior PHP Developer,Киев,2800,6,intermediate,fulltime remote,68
PHP,Senior PHP Developer,Киев,3000,6,pre,fulltime relocate,1
PHP,Senior PHP Developer (Yii2),Киев,2700,5,basic,fulltime relocate,3
PHP,Senior PHP Developer,Харьков,3000,9,intermediate,fulltime remote,25
PHP,Senior PHP Developer,Харьков,2000,9,intermediate,remote freelance,3
PHP,Senior PHP Developer,Киев,2700,6,pre,fulltime remote move relocate,5
PHP,Senior PHP Developer,Sumy,2500,7,intermediate,fulltime remote freelance move relocate,1
PHP,Team Lead PHP / Senior PHP Developer,Киев,4500,9,pre,fulltime freelance,104
PHP,Senior PHP/JS Developer,Львов,2300,7,intermediate,fulltime,26
PHP,Senior PHP Developer,Dnipro,3000,9,intermediate,fulltime,19
PHP,PHP Senior/Team-lead/Technical-lead,Киев,4700,9,fluent,fulltime,1
PHP,Senior PHP Developer,Киев,4000,9,pre,fulltime remote,20
PHP,Teach Lead/Senior Fullstack/PHP Developer,Киев, Одесса,4600,10,intermediate,fulltime remote freelance move,22
PHP,Senior Backend Developer (PHP) / Architect - Remote,Киев,5000,15,upper,remote,7
PHP,CTO, Tech Lead, Engineering director, senior full-stack, senior PHP,Киев,5000,15,intermediate,fulltime remote freelance relocate,22
PHP,Senior PHP/Laravel Developer,Киев, Львов,3000,8,fluent,fulltime remote freelance move relocate,1
PHP,Senior PHP Developer,Киев,3000,5,intermediate,remote relocate,1
PHP,Senior PHP Developer,Харьков,3600,6,intermediate,fulltime remote,1
PHP,Senior/TeamLead WEB developer(Javascript, PHP) or lower position in other interesting fields,Kyiv,4500,15,intermediate,fulltime,21
PHP,Lead/Senior software Developer,Киев,2000,15,upper,freelance,236
PHP,Senior Go/PHP Developer,Remotely,3500,8,upper,remote freelance,31
PHP,Senior PHP Developer,Одесса,4500,6,intermediate,remote,4
PHP,Senior PHP/Magento2/Magento1,Киев,100,15,intermediate,remote,8
PHP,senior Drupal developer,Миколаїв,3500,6,intermediate,fulltime remote freelance move relocate,12
PHP,Senior Php Developer / Tech Lead,Днепр,3500,6,pre,fulltime remote,10
PHP,Senior PHP Developer (Remote),remote,3000,7,fluent,remote,12
PHP,Senior Backend PHP (TeamLead),Одесса,5000,6,intermediate,fulltime remote freelance relocate,21
PHP,Team Lead/Senior php dev,удаленно,4000,9,upper,remote,4
PHP,Senior/TeamLead PHP Developer,,Киев, Львов,3000,5,pre,remote freelance,9
PHP,Middle/Senior PHP developer,Киев,1900,9,pre,fulltime move,3
PHP,Senior Software Engineer,Киев,3600,4,upper,fulltime remote relocate,14
PHP,Senior PHP Developer / Team Lead,Киев,2500,4,intermediate,fulltime remote freelance move relocate,55
PHP,Middle/Senior PHP Developer,Киев,2000,7,basic,fulltime remote,1
PHP,Senior Web Developer,Any,3000,10,fluent,remote relocate,7
PHP,Senior PHP Developer / Team Lead,Киев,5000,15,upper,fulltime,9
PHP,Lead/Senior PHP Developer,Kiev,3000,8,upper,remote freelance,19
PHP,Senior Software Engineer,Харьков,4000,8,upper,fulltime,2
PHP,Разработчик PHP(full stack, senior),Киев,3000,10,pre,fulltime remote freelance,21
PHP,Senior Full Stack (PHP/JS) Developer,Киев,4000,8,pre,fulltime relocate,35
PHP,Senior backend developer,remote,4000,8,fluent,remote,1
PHP,Senior PHP Developer,Austria, Vienna,3500,6,intermediate,fulltime remote freelance relocate,18
PHP,Senior PHP Developer,Одесса,4000,15,pre,fulltime remote freelance relocate,23
PHP,Senior Full Stack PHP Developer,Харьков,3600,6,upper,fulltime remote relocate,20
PHP,Senior PHP Developer,Киев,2500,3,upper,fulltime relocate,167
PHP,Full Stack Web Developer (senior),Киев,3000,15,intermediate,fulltime remote freelance relocate,6
PHP,Senior PHP Developer,Киев,3500,7,intermediate,fulltime remote freelance relocate,47
PHP,Senior / Middle PHP Developer,Одесса,2500,8,intermediate,fulltime,10
PHP,Senior Drupal developer,Одесса,5000,4,basic,relocate,1
PHP,Senior PHP Developer,Киев,3000,6,pre,fulltime remote,1
PHP,Senior PHP Developer,Запорожье,2700,7,intermediate,fulltime remote freelance,42
PHP,Senior Software Engineer (php/python),Киев,2800,5,intermediate,fulltime remote freelance move relocate,1
PHP,TeamLead/Senior PHP Developer,Днепр,4000,9,intermediate,fulltime remote freelance,1
PHP,Senior / Team Lead PHP Developer,Киев,3500,7,intermediate,fulltime remote,19
PHP,Team Lead Magento, Senior Magento Developer, Senior PHP Developer, Process Manager,Киев,5000,6,intermediate,remote freelance,3
PHP,CTO/Team lead/Senior PHP Developer,Киев,4000,6,intermediate,fulltime remote,24
PHP,Senior PHP/Drupal developer/Lead,Львов,4000,9,intermediate,fulltime remote freelance move relocate,1
PHP,Senior Software Engineer, Solution Architect,Киев,3000,15,upper,fulltime relocate,94
PHP,Senior PHP Developer,Львов,3400,6,upper,fulltime,10
PHP,Senior PHP Developer,Киев,4000,5,upper,fulltime remote freelance relocate,33
PHP,Senior PHP Developer,Львов, Черновцы,2500,6,intermediate,fulltime remote freelance move relocate,1
PHP,Senior Web Engineer,Kiev,3500,8,upper,remote freelance,1
PHP,Senior/TL WordPress/PHP developer,Львів,3000,7,pre,fulltime remote relocate,11
PHP,Senior Back-end PHP Developer,Чернівці,3500,7,pre,remote freelance,9
PHP,Senior PHP Developer,Киев, Винница,4000,5,upper,fulltime remote move relocate,37
PHP,Senior PHP  / Symfony Developer,Kiev,3200,5,upper,fulltime,40
PHP,Senior Full Stack Developer (php / reactJs),Харьков,3000,15,intermediate,fulltime,12
PHP,Senior Web Developer,Львов,4000,15,upper,fulltime remote freelance,1
PHP,Senior Full Stack Web Developer,remote,5000,5,upper,remote,64
PHP,Senior PHP Developer/Team Lead,Киев,3700,9,upper,fulltime,34
PHP,Senior PHP Developer,Киев, Одесса,4000,6,intermediate,fulltime,55
PHP,Senior PHP Developer,Киев,3000,6,pre,fulltime remote freelance move,32
PHP,Senior PHP Developer,Lviv,3000,9,upper,fulltime remote,20
PHP,Senior PHP Developer/Team Lead,Киев,4500,8,intermediate,fulltime remote,20
PHP,CTO, Senior full-stack PHP Developer, IT Consultant,Киев,7000,15,pre,fulltime remote freelance relocate,6
PHP,Senior PHP/JS Developer,Харьков,3000,10,upper,fulltime remote,93
PHP,Senior PHP Developer,Киев,3200,9,fluent,fulltime remote relocate,2
PHP,Senior PHP Developer,Praha, Kraków, Berlin,4500,15,upper,relocate,14
PHP,Senior PHP Developer,Харьков,100,7,pre,fulltime,10
PHP,Senior PHP Developer,Харьков,2500,4,pre,fulltime remote freelance,12
PHP,Senior PHP Developer,Киев,3500,10,pre,fulltime,1
PHP,Senior PHP Developer,Киев,2700,4,pre,fulltime,1
PHP,Senior PHP Developer,Киев,3000,7,upper,fulltime,49
PHP,Senior PHP Developer (Team Lead),Киев,4200,15,intermediate,fulltime,16
PHP,Senior Magento Developer,Киев,3500,5,intermediate,remote,6
PHP,Team Lead/Senior PHP Developer,Киев,3500,10,intermediate,fulltime,4
PHP,Senior PHP Developer,Kiev, Europe, US,2500,5,intermediate,fulltime remote freelance relocate,2
PHP,Senior PHP Developer,Киев,3700,6,upper,fulltime relocate,36
PHP,Senior PHP developer, Full-stack developer,Киев,3000,7,upper,fulltime remote freelance,1
PHP,Senior PHP/Symfony Developer, Team/Tech Lead,Київ,3800,8,pre,fulltime,10
PHP,Senior Software Engineer,Киев,4000,7,intermediate,remote,46
PHP,Senior PHP Developer / Team Lead,Киев,3000,7,upper,fulltime remote relocate,113
PHP,Magento Technical / Team Lead or Senior Developer. I looking for new offers !! Remote or relocation,Uzhgorod ( relocation ),4500,5,intermediate,fulltime remote freelance move relocate,31
PHP,Senior PHP Developer,Киев,4000,6,pre,fulltime remote,14
PHP,Senior PHP Developer,Киев,3000,10,basic,fulltime,4
PHP,Senior PHP Developer,Киев,4500,6,upper,fulltime remote,14
PHP,Senior Software Engineer,Киев,4000,8,fluent,fulltime remote,1
PHP,Senior PHP Developer,Днепр,3000,5,pre,fulltime remote,1
PHP,Senior PHP Developer,Харьков,3000,7,intermediate,remote freelance,14
