"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
QA Automation,Senior Automation QA Engineer/ Python engineer/ Junior Go engineer/ SDET,Львів, Lviv,3600,8,fluent,fulltime remote freelance relocate,37
QA Automation,Senior QA Automation Engineer,Киев,4000,5,upper,fulltime remote,28
QA Automation,Senior QA Automation Engineer,Киев,3900,6,fluent,fulltime remote relocate,121
QA Automation,Senior QA / TL / SDET,Одесса, удаленно,3600,15,fluent,fulltime remote,9
QA Automation,Senior Automation QA Engineer + RM,Киев,3400,5,intermediate,fulltime remote relocate,1
QA Automation,Senior Test Automation Engineer,Киев,3500,8,upper,fulltime relocate,5
QA Automation,Senior QA Engineer,Remote,5000,15,upper,remote,5
QA Automation,Senior QA Automation Enginer,Киев,3500,4,intermediate,fulltime,1
QA Automation,Senior QA Automation Engineer,Харьков,2500,3,intermediate,fulltime move relocate,1
QA Automation,Senior QA Automation Engineer,Киев,2700,4,upper,fulltime,23
QA Automation,Lead AQA, Senior Test Automation Engineer (Javascript),Киев,3500,6,upper,fulltime,44
QA Automation,Senior Automation QA Engineer,Киев,5000,8,upper,fulltime,9
QA Automation,Senior Test Automation engineer,Одесса, Николаев,4200,8,intermediate,fulltime move,1
QA Automation,Senior Software Automation Engineer for relocation,Киев,3500,4,intermediate,freelance relocate,1
QA Automation,Senior Automation QA Engineer,Киев,4000,4,upper,freelance relocate,21
QA Automation,Senior QA Automation Engineer,Киев,4000,5,intermediate,fulltime remote,26
QA Automation,Senior Test Automation QA Engineer,Netherlands,4000,5,upper,relocate,31
QA Automation,Senior QA Automation / General QA Engineer,Киев,3500,5,upper,fulltime remote freelance relocate,1
QA Automation,Senior Automation QA Engineer,Киев,3000,5,intermediate,fulltime remote,1
QA Automation,Senior performance testing engineer,Киев,5500,15,upper,fulltime remote,1
QA Automation,Senior QA Automation Engineer/QA Lead,Remote,10000,8,fluent,remote,1
QA Automation,Senior Automation QA Engineer,Киев,3300,7,fluent,fulltime remote,7
QA Automation,Senior Automation QA Engineer,Киев,3100,5,upper,fulltime remote,31
QA Automation,Senior Automation QA Engineer,Relocation to EU,2900,5,upper,fulltime relocate,1
QA Automation,Automation/ Manual,  QA Lead / Senior,Киев,4500,7,fluent,fulltime remote freelance,1
QA Automation,Senior Automation QA Engineer,Киев,2900,3,intermediate,fulltime remote,1
QA Automation,[REMOTE] Senior Automation QA,удаленная работа, Киев, Одесса, Львов, Харьков,4000,6,upper,remote freelance,61
QA Automation,Senior Automation QA,Киев,3000,5,upper,fulltime,21
QA Automation,Senior QA Automation Engineer,Киев,2800,5,fluent,fulltime,14
QA Automation,Senior QA automation engineer,Киев,3500,8,upper,remote,1
QA Automation,Senior QA Engineer/QA Lead,Киев,3500,5,intermediate,fulltime,19
QA Automation,Senior Software Test Automation Engineer,Київ,4000,5,upper,remote freelance,2
QA Automation,Senior QA Automation Engineer,Киев,4000,4,upper,fulltime remote relocate,70
QA Automation,Senior QA Automation Engineer,Киев,3800,7,upper,fulltime relocate,132
QA Automation,QA Lead, Senior QA, Automation QA,Харьков,3500,7,fluent,fulltime remote relocate,27
QA Automation,Senior / Lead Automation QA,relocate to the USA or Canada,1000,7,intermediate,fulltime relocate,2
QA Automation,Senior Test Automation Specialist,Киев,3000,7,pre,fulltime remote,7
QA Automation,Senior QA Engineer/Automation QA Engineer,Киев,3200,6,intermediate,remote freelance,1
QA Automation,Senior QA Automation Engineer,Киев,3500,15,fluent,remote freelance,10
QA Automation,Senior QA Engineer,Киев,3000,7,upper,fulltime remote move,44
QA Automation,Senior Java/Javascript Automation engineer,Харьков,3600,4,upper,fulltime remote,7
QA Automation,Senior QA Automation Engineer, Team Lead,Харьков,4000,4,upper,fulltime relocate,1
QA Automation,Senior Automation QA Engineer,Харьков,3300,10,intermediate,fulltime remote,1
QA Automation,Senior QA Automation Engineer / SDET,Киев,3500,8,intermediate,fulltime remote freelance,2
QA Automation,Senior Test Automation Engineer (AQA),Берлин, Барселона, Варшава, Амстердам,3500,4,upper,fulltime relocate,29
QA Automation,Senior Test Automation Engineer (Remote),Киев,4000,5,upper,remote relocate,26
QA Automation,Senior Automation QA Engineer,Харьков,5000,4,intermediate,fulltime remote,16
QA Automation,Senior QA Automation,Киев,3500,15,upper,remote freelance,17
QA Automation,Senior Automation QA Engineer,USA, Canada,6000,4,upper,fulltime remote relocate,1
QA Automation,Senior QA Automation Engineer,Lviv,4000,6,upper,remote relocate,23
QA Automation,Senior QA Engineer;  QA automation; Dev in test; Senior AQA Engineer; Senior automation,Киев,3000,5,intermediate,fulltime remote freelance,4
QA Automation,Senior Automation QA Engineer,Киев,3500,8,intermediate,fulltime,42
QA Automation,Senior QA Engineer (Manual vs Automation skills),Киев,2500,7,fluent,fulltime remote freelance,1
QA Automation,Senior Test Automation Engineer, Team Lead,Western Europe (Netherlands, Germany, Ireland, England), USA,3000,9,fluent,fulltime freelance relocate,1
QA Automation,Senior Mobile Manual QA /Junior Mobile Automation QA,Киев,2800,4,pre,fulltime remote freelance,1
QA Automation,Senior Automation QA,Киев,3800,4,upper,fulltime remote,18
QA Automation,Senior Automation QA Engineer,Any,1000,6,upper,freelance,23
QA Automation,Senior QA Automation Engineer (web/desktop/api) C#,Киев,3500,5,upper,remote,26
QA Automation,Lead/Senior QA Automation Engineer,Киев,3500,7,intermediate,fulltime remote freelance,23
QA Automation,Senior QA Engineer,Николаев,2500,10,intermediate,fulltime remote,58
QA Automation,Senior Automation QA Engineer,Киев,2900,6,intermediate,fulltime,21
QA Automation,Senior QA Automation Engineer / Team Leader,Киев,4000,6,intermediate,fulltime remote freelance relocate,1
QA Automation,Senior QA Engineer,Киев,3000,7,upper,fulltime remote,32
QA Automation,Senior automation QA Engineer (JS),Киев,2700,7,fluent,fulltime remote,50
QA Automation,Senior QA Engineer,Киев,3200,7,upper,fulltime,42
QA Automation,Senior Automation Testing Engineer/Lead,Kharkiv,3600,8,fluent,fulltime remote freelance,7
QA Automation,Senior QA Automation,Киев,3200,4,upper,fulltime remote,14
QA Automation,middle/Senior QA Automation Engineer (java/c#),Киев,3500,3,intermediate,relocate,5
QA Automation,Senior Automation QA Engineer,Remote,2800,6,upper,fulltime remote freelance relocate,20
QA Automation,Senior QA Automation Engineer,Днепр,3500,6,upper,fulltime remote relocate,53
QA Automation,Senior QA Engineer (manual/partial automation),Киев,3800,15,intermediate,fulltime remote move,1
QA Automation,Senior Automation QA Engineer (JS),Киев,3000,4,upper,fulltime remote,82
QA Automation,Senior AQA Engineer (JavaScript),Киев,3000,7,intermediate,remote relocate,55
QA Automation,Senior Automation Testing Engineer,Киев,3800,4,intermediate,remote freelance,1
QA Automation,Senior SDET / Automation QA Engineer,Киев,3000,5,upper,fulltime remote freelance,99
QA Automation,Senior QA Automation Engineer,Киев,3800,6,upper,fulltime remote relocate,80
QA Automation,Senior Software Test Automation Engineer (JAVA),Киев,3700,4,pre,fulltime,1
QA Automation,Senior QA Automation Engineer,Portland, OR,6000,8,fluent,remote freelance relocate,1
QA Automation,QA Automation Engineer (Strong Middle, Senior),Львов,2200,5,intermediate,fulltime,10
QA Automation,Senior Automation QA Engineer,Киев,2500,7,intermediate,remote freelance,7
QA Automation,Senior QA Automation Engineer/Team Lead,Киев,4500,15,fluent,fulltime,21
QA Automation,Senior Automation QA Engineer,Киев,3000,7,intermediate,fulltime,1
QA Automation,Senior Automation QA Engineer,Киев,3000,2.500000,fluent,fulltime remote relocate,1
QA Automation,Senior Software Test Automation Engineer,Киев,3000,4,intermediate,fulltime relocate,1
QA Automation,Senior AQA Engineer,Львів,4000,5,intermediate,fulltime remote,5
QA Automation,Senior QA Automation Engineer,Киев,3500,9,intermediate,fulltime remote,1
QA Automation,Senior QA Automation Engineer (Java/Kotlin),Киев,3500,5,upper,fulltime remote,35
QA Automation,Senior\Lead Test Automation Engineer,Харьков,3300,5,intermediate,fulltime remote,1
QA Automation,Senior QA Automation Engineer  (SW Developer in Test),Kiev,3000,3,upper,remote freelance,6
QA Automation,Senior Automation QC Engineer,Харьков,3000,5,pre,fulltime remote freelance,1
QA Automation,Senior QA Engineer/Automation QA Engineer,Киев, EU, USA, Canada,1800,3,fluent,fulltime remote freelance move relocate,6
QA Automation,Senior QA Automation Engineer,Киев,2500,6,upper,remote,22
QA Automation,Middle/Senior Automation QA Engineer,Харьков,3500,3,intermediate,fulltime remote,11
QA Automation,Lead/Senior Automation QA Engineer,Киев,4000,4,fluent,fulltime remote,1
QA Automation,Junior Automation/Senior Manual Engineer,Днепр,1000,3,intermediate,fulltime move,1
